Team,Season,Player1,Player2,Arch1,Arch2,Lebron1,Lebron2,WinsAdded1,WinsAdded2,MPG1,MPG2,PM0,PM1,PM2,PM3
ATL,2010,Josh Smith,Al Horford,Post Scorer,Post Scorer,3.61,2.81,11.4,9.8,35.4,35.1,,,,
BOS,2010,Rajon Rondo,Ray Allen,Shot Creator,Off Screen Shooter,2.73,1.76,10.0,7.7,36.6,35.2,,,,
CHA,2010,Gerald Wallace,Raymond Felton,Athletic Finisher,Primary Ball Handler,2.29,0.82,9.6,5.6,41.0,33.0,,,,
CHI,2010,Luol Deng,Kirk Hinrich,Athletic Finisher,Secondary Ball Handler,1.1,0.16,6.1,4.1,37.9,33.5,,,,
CLE,2010,LeBron James,Anderson Varejao,Shot Creator,Roll + Cut Big,8.84,2.63,20.7,7.2,39.0,28.5,,,,
DAL,2010,Jason Kidd,Dirk Nowitzki,Stationary Shooter,Post Scorer,2.87,2.53,10.0,9.9,36.0,37.5,,,,
DEN,2010,Nene,Chauncey Billups,Post Scorer,Shot Creator,3.07,2.46,9.9,8.0,33.6,34.1,,,,
DET,2010,Ben Wallace,Rodney Stuckey,Athletic Finisher,Shot Creator,3.04,0.7,7.1,5.0,28.6,34.2,,,,
GSW,2010,Stephen Curry,CJ Watson,Primary Ball Handler,Secondary Ball Handler,0.33,1.45,5.1,4.5,36.2,27.5,,,,
HOU,2010,Trevor Ariza,Kyle Lowry,Secondary Ball Handler,Primary Ball Handler,1.16,1.93,6.1,4.7,36.5,24.3,,,,
IND,2010,Danny Granger,Roy Hibbert,Secondary Ball Handler,Post Scorer,2.99,0.9,8.1,4.4,36.7,25.1,,,,
LAC,2010,Baron Davis,Eric Gordon,Shot Creator,Secondary Ball Handler,2.28,-0.95,7.8,2.0,33.6,36.0,,,,
LAL,2010,Kobe Bryant,Pau Gasol,Shot Creator,Post Scorer,3.38,3.5,10.8,9.3,38.8,37.0,,,,
MEM,2010,Marc Gasol,Zach Randolph,Post Scorer,Post Scorer,2.72,1.49,8.4,7.8,35.8,37.7,,,,
MIA,2010,Dwyane Wade,Quentin Richardson,Shot Creator,Stationary Shooter,6.36,0.94,15.8,4.5,36.3,27.4,,,,
MIL,2010,Andrew Bogut,Brandon Jennings,Post Scorer,Primary Ball Handler,3.38,0.71,8.5,5.4,32.3,32.6,,,,
MIN,2010,Kevin Love,Al Jefferson,Post Scorer,Post Scorer,0.65,-0.45,3.4,3.0,28.6,32.4,,,,
NJN,2010,Brook Lopez,Devin Harris,Post Scorer,Primary Ball Handler,-0.74,-0.43,3.1,2.8,36.9,34.7,,,,
NOH,2010,Chris Paul,Emeka Okafor,Shot Creator,Post Scorer,3.46,-0.17,6.6,3.4,38.0,28.9,,,,
NYK,2010,Danilo Gallinari,David Lee,Stationary Shooter,Stretch Big,0.57,-0.12,5.3,4.4,33.9,37.3,,,,
OKC,2010,Kevin Durant,Russell Westbrook,Secondary Ball Handler,Shot Creator,5.63,2.07,16.9,8.3,39.5,34.3,,,,
ORL,2010,Dwight Howard,Vince Carter,Post Scorer,Primary Ball Handler,5.66,2.3,14.9,7.2,34.7,30.8,,,,
PHI,2010,Andre Iguodala,Samuel Dalembert,Shot Creator,Post Scorer,1.08,0.9,7.3,4.6,38.9,25.9,,,,
PHO,2010,Steve Nash,Amare Stoudemire,Shot Creator,Post Scorer,3.12,1.8,9.7,7.8,32.8,34.6,,,,
POR,2010,Andre Miller,LaMarcus Aldridge,Shot Creator,Post Scorer,3.38,1.79,9.5,8.1,30.5,37.5,,,,
SAC,2010,Tyreke Evans,Beno Udrih,Shot Creator,Secondary Ball Handler,-0.18,-0.28,3.8,3.3,37.2,31.4,,,,
SAS,2010,Tim Duncan,Manu Ginobili,Post Scorer,Shot Creator,4.45,3.22,11.0,8.0,31.3,28.7,,,,
TOR,2010,Chris Bosh,Jarrett Jack,Post Scorer,Primary Ball Handler,2.77,0.36,8.6,4.0,36.1,27.4,,,,
UTA,2010,Deron Williams,Paul Millsap,Shot Creator,Post Scorer,4.0,2.79,11.8,7.8,36.9,27.8,,,,
WAS,2010,Gilbert Arenas,Andray Blatche,Shot Creator,Post Scorer,1.43,-1.0,2.9,1.9,36.5,27.9,,,,
ATL,2011,Josh Smith,Al Horford,Post Scorer,Post Scorer,2.14,1.65,7.9,7.2,34.4,35.1,,,,
BOS,2011,Paul Pierce,Kevin Garnett,Shot Creator,Post Scorer,4.75,5.31,13.0,11.2,34.7,31.3,,,,
CHA,2011,DJ Augustin,Boris Diaw,Primary Ball Handler,Post Scorer,-1.11,-1.07,2.2,2.2,33.6,33.9,,,,
CHI,2011,Derrick Rose,Luol Deng,Shot Creator,Movement Shooter,3.77,2.63,12.3,10.7,37.4,39.1,,,,
CLE,2011,Antawn Jamison,Daniel Gibson,Stretch Big,Shot Creator,0.19,-0.23,3.1,2.6,32.9,27.8,,,,
DAL,2011,Dirk Nowitzki,Jason Kidd,Post Scorer,Stationary Shooter,4.15,2.45,10.8,8.5,34.3,33.2,,,,
DEN,2011,Nene,JR Smith,Post Scorer,Shot Creator,3.46,1.13,8.9,4.6,30.5,24.9,,,,
DET,2011,Rodney Stuckey,Tayshaun Prince,Shot Creator,Shot Creator,0.54,-0.26,4.2,3.5,31.2,32.8,,,,
GSW,2011,Stephen Curry,Dorell Wright,Primary Ball Handler,Stationary Shooter,1.41,-0.05,6.2,4.8,33.6,38.4,,,,
HOU,2011,Kyle Lowry,Luis Scola,Shot Creator,Post Scorer,2.35,2.27,8.0,7.4,34.2,32.6,,,,
IND,2011,Danny Granger,Mike Dunleavy,Secondary Ball Handler,Off Screen Shooter,1.71,1.01,7.5,3.8,35.0,27.6,,,,
LAC,2011,Blake Griffin,Eric Gordon,Post Scorer,Primary Ball Handler,1.8,1.25,8.6,5.1,38.0,37.7,,,,
LAL,2011,Pau Gasol,Kobe Bryant,Post Scorer,Shot Creator,3.72,2.64,12.3,9.3,37.0,33.9,,,,
MEM,2011,Mike Conley,Zach Randolph,Primary Ball Handler,Post Scorer,2.88,2.71,10.0,9.2,35.5,36.3,,,,
MIA,2011,LeBron James,Dwyane Wade,Shot Creator,Shot Creator,6.26,5.09,17.2,13.8,38.8,37.1,,,,
MIL,2011,Andrew Bogut,Brandon Jennings,Post Scorer,Primary Ball Handler,1.7,1.1,6.2,5.0,35.3,34.4,,,,
MIN,2011,Kevin Love,Luke Ridnour,Post Scorer,Primary Ball Handler,1.86,-0.77,7.3,2.2,35.8,30.4,,,,
NJN,2011,Kris Humphries,Brook Lopez,Roll + Cut Big,Post Scorer,1.33,-0.42,5.1,3.6,27.9,35.2,,,,
NOH,2011,Chris Paul,David West,Shot Creator,Post Scorer,6.76,1.35,17.0,6.0,36.0,35.0,,,,
NYK,2011,Amare Stoudemire,Landry Fields,Shot Creator,Stationary Shooter,0.99,-0.28,6.4,3.4,36.8,31.0,,,,
OKC,2011,Kevin Durant,Russell Westbrook,Secondary Ball Handler,Shot Creator,4.23,1.36,13.3,7.0,38.9,34.7,,,,
ORL,2011,Dwight Howard,Ryan Anderson,Post Scorer,Movement Shooter,6.57,2.9,17.0,5.0,37.6,22.3,,,,
PHI,2011,Andre Iguodala,Elton Brand,Secondary Ball Handler,Post Scorer,2.92,1.59,8.7,7.4,36.9,34.7,,,,
PHO,2011,Steve Nash,Channing Frye,Shot Creator,Movement Shooter,2.95,1.26,8.8,6.1,33.3,33.0,,,,
POR,2011,LaMarcus Aldridge,Andre Miller,Post Scorer,Shot Creator,2.66,1.83,10.7,7.4,39.6,32.7,,,,
SAC,2011,Beno Udrih,Tyreke Evans,Secondary Ball Handler,Shot Creator,-0.33,-0.45,3.6,2.6,34.6,37.0,,,,
SAS,2011,Manu Ginobili,Tim Duncan,Primary Ball Handler,Post Scorer,5.71,4.25,12.8,9.4,30.3,28.4,,,,
TOR,2011,Amir Johnson,Jose Calderon,Roll + Cut Big,Primary Ball Handler,2.21,1.4,5.6,5.3,25.7,30.9,,,,
UTA,2011,Paul Millsap,Al Jefferson,Athletic Finisher,Post Scorer,1.95,0.08,7.5,4.7,34.3,35.9,,,,
WAS,2011,JaVale McGee,Andray Blatche,Post Scorer,Post Scorer,-0.29,-0.37,2.9,2.8,27.8,33.9,,,,
ATL,2012,Josh Smith,Jeff Teague,Post Scorer,Shot Creator,4.22,1.93,10.3,6.3,35.3,33.1,,,,
BOS,2012,Kevin Garnett,Rajon Rondo,Post Scorer,Primary Ball Handler,3.39,1.86,7.2,5.6,31.1,36.9,,,,
CHA,2012,Kemba Walker,Eduardo Najera,Primary Ball Handler,Stretch Big,-1.5,0.52,0.9,0.5,27.2,12.3,,,,
CHI,2012,Joakim Noah,Luol Deng,Athletic Finisher,Athletic Finisher,2.89,1.8,6.9,6.0,30.4,39.4,,,,
CLE,2012,Kyrie Irving,Antawn Jamison,Shot Creator,Stretch Big,1.72,-0.18,4.3,3.0,30.5,33.1,,,,
DAL,2012,Dirk Nowitzki,Jason Kidd,Post Scorer,Stationary Shooter,2.98,2.28,7.5,4.3,33.5,28.7,,,,
DEN,2012,Ty Lawson,Danilo Gallinari,Shot Creator,Secondary Ball Handler,2.24,3.57,6.6,5.4,34.8,31.4,,,,
DET,2012,Rodney Stuckey,Greg Monroe,Secondary Ball Handler,Post Scorer,1.04,0.1,3.7,3.4,29.9,31.5,,,,
GSW,2012,Dorell Wright,Stephen Curry,Stationary Shooter,Shot Creator,0.43,2.91,3.0,2.6,27.0,28.2,,,,
HOU,2012,Goran Dragic,Kyle Lowry,Shot Creator,Shot Creator,2.09,1.99,5.3,4.4,26.5,32.1,,,,
IND,2012,Paul George,Danny Granger,Athletic Finisher,Athletic Finisher,3.13,2.43,7.3,6.7,29.7,33.3,,,,
LAC,2012,Chris Paul,Blake Griffin,Shot Creator,Post Scorer,5.95,4.55,12.0,11.1,36.4,36.2,,,,
LAL,2012,Pau Gasol,Kobe Bryant,Post Scorer,Shot Creator,3.58,2.03,9.7,6.6,37.4,38.5,,,,
MEM,2012,Marc Gasol,Mike Conley,Post Scorer,Primary Ball Handler,4.18,2.46,10.4,7.1,36.5,35.1,,,,
MIA,2012,LeBron James,Dwyane Wade,Shot Creator,Shot Creator,6.28,4.47,13.3,7.5,37.5,33.2,,,,
MIL,2012,Brandon Jennings,Ersan Ilyasova,Primary Ball Handler,Stretch Big,0.62,1.36,4.6,4.1,35.3,27.6,,,,
MIN,2012,Kevin Love,Ricky Rubio,Post Scorer,Primary Ball Handler,3.0,2.23,7.8,4.3,39.0,34.2,,,,
NJN,2012,Deron Williams,Kris Humphries,Shot Creator,Roll + Cut Big,0.91,-0.25,4.4,3.0,36.3,34.9,,,,
NOH,2012,Gustavo Ayon,Greivis Vasquez,Roll + Cut Big,Primary Ball Handler,0.9,-0.54,2.4,2.0,20.1,25.8,,,,
NYK,2012,Tyson Chandler,Carmelo Anthony,Roll + Cut Big,Shot Creator,2.15,1.98,6.3,5.5,33.2,34.1,,,,
OKC,2012,Kevin Durant,Russell Westbrook,Shot Creator,Shot Creator,3.96,2.58,10.9,7.8,38.6,35.3,,,,
ORL,2012,Dwight Howard,Ryan Anderson,Post Scorer,Movement Shooter,4.19,3.71,9.1,8.0,38.3,32.2,,,,
PHI,2012,Andre Iguodala,Lou Williams,Secondary Ball Handler,Shot Creator,2.61,2.84,7.4,5.9,35.6,26.3,,,,
PHO,2012,Marcin Gortat,Steve Nash,Post Scorer,Primary Ball Handler,2.8,3.05,7.4,7.2,32.0,31.6,,,,
POR,2012,LaMarcus Aldridge,Wesley Matthews,Post Scorer,Stationary Shooter,1.97,1.11,5.8,5.2,36.3,33.8,,,,
