"","Team","Season","Player1","Player2","Arch1","Arch2","Lebron1","Lebron2","WinsAdded1","WinsAdded2","MPG1","MPG2","PM0","PM1","PM2","PM3","ActM0","ActM1","ActM2","ActM3","Stack/Stagger","SuggM0","suggM1","SuggM2","SuggM3","SuggProp","ActualProp","DiffProp","Stack","GamesPlayed","ActM0_PerGame","ActM1_PerGame","ActM2_PerGame","ActM3_PerGame","ActSum","max_m0","ActM0_Prop","NewArch1","NewArch2","Double_Arch","NewDouble_Arch","NewSugg0","NewSugg1","NewSugg2","NewSugg3","StackSugg0","StackSugg1","StackSugg2","StackSugg3","StaggerSugg0","StaggerSugg1","StaggerSugg2","StaggerSugg3","suggM0_Prop","FinalStack","FinalCompStack","RealGameScore","SuggGameScore","GameImprovement","StackGameScore","StackImprovement","StaggerGameScore","StaggerImprovement","Diff_M0_PerGame","Diff_M1_PerGame","Diff_M2_PerGame","Diff_M3_PerGame","NDA_factor"
"1","PHO",2018,"Alex Len","Marquese Chriss","Roll + Cut Big","Stretch Big",0.39,-0.52,2.5,1.8,20.1833333333333,21.1166666666667,-10.99,-8.81,-7.18,-12.6,703,910,966,301,-7.6,0,26.8,27.8,-6.6,0,0.138263665594855,-0.138263665594855,FALSE,60,11.7166666666667,15.1666666666667,16.1,5.01666666666667,48,26.88,0.435887896825397,"Off_Ball_Big","Off_Ball_Big","Roll + Cut Big Stretch Big","Off_Ball_Big Off_Ball_Big",6.7,20.18,21.12,0,26.88,0,0.94,20.18,6.7,20.18,21.12,0,0.249255952380952,FALSE,FALSE,-9.19151041666667,-7.34483333333333,1.84667708333333,-11.5922583333333,-2.40074791666667,-8.39709166666667,0.79441875,-5.01666666666667,5.01333333333333,5.02,-5.01666666666667,"Off_Ball_Big Off_Ball_Big"
"2","WAS",2022,"Daniel Gafford","Deni Avdija","Roll + Cut Big","Stationary Shooter",1.44,0.44,3.6,3.6,19.9401611047181,23.6409666283084,-5.26,-5.05,3.48,-9.18,956,808,1076,636,-12.87,0,23.8,27.9,-3.7,0,0.252380952380952,-0.252380952380952,FALSE,72.4166666666667,13.2013808975834,11.1576524741082,14.8584579976985,8.7825086306099,48,24.36,0.541928608275182,"Off_Ball_Big","Off Ball","Roll + Cut Big Stationary Shooter","Off Ball Off_Ball_Big",4.42,19.94,23.64,0,24.36,0,3.7,19.94,4.42,19.94,23.64,0,0.181444991789819,FALSE,FALSE,-3.22294591484465,0.226416666666667,3.44936258151132,-6.214725,-2.99177908515535,-0.8683125,2.35463341484465,-8.78138089758343,8.78234752589183,8.7815420023015,-8.7825086306099,"Off Ball Off_Ball_Big"
"3","NYK",2019,"Mitchell Robinson","Noah Vonleh","Roll + Cut Big","Versatile Big",1.66,-0.2,3.6,2.4,18.7726550079491,25.1446740858506,-14.63,-6.1,-5.42,-4.19,494,704,1038,280,-7.3,0,22.7,27.4,-2.1,0.0444602948169282,0.138476755687438,-0.09401646087051,FALSE,52.4166666666667,9.42448330683625,13.4308426073132,19.8028616852146,5.34181240063593,48,22.86,0.412269610972714,"Off_Ball_Big","On_Ball_Big","Roll + Cut Big Versatile Big","Off_Ball_Big On_Ball_Big",5.95,16.91,23.28,1.87,22.86,0,6.37,18.78,4.08,18.78,25.15,0,0.260279965004374,FALSE,FALSE,-7.28170906200318,-5.79539583333333,1.48631322866985,-9.32615416666667,-2.04444510466349,-6.47002916666667,0.811679895336514,-3.47448330683625,3.4791573926868,3.47713831478537,-3.47181240063593,"Off_Ball_Big On_Ball_Big"
"4","DET",2020,"Christian Wood","Derrick Rose","Stretch Big","Slasher",2.67,-0.3,4.4,1.7,19.14949583516,25.8623410784744,-5.01,5.02,-6.36,2.73,669,383,702,527,-0.939999999999999,0,22,26.6,-0.600000000000001,0.286,0.326923076923077,-0.040923076923077,FALSE,47.5208333333333,14.0780359491451,8.05962297238053,14.7724682156949,11.0898728627795,48,22.14,0.635864315679544,"Off_Ball_Big","On Ball","Slasher Stretch Big","Off_Ball_Big On Ball",13,9.14,15.85,10.01,22.14,0,6.71,19.15,2.99,19.15,25.86,0,0.587172538392051,TRUE,FALSE,-1.95310828583954,-1.25779166666667,0.695316619172877,-2.11078125,-0.157672964160456,-1.73576041666667,0.217347869172877,-1.07803594914511,1.08037702761947,1.07753178430513,-1.07987286277948,"Off_Ball_Big On Ball"
"5","LAL",2016,"Brandon Bass","Lou Williams","Roll + Cut Big","Secondary Ball Handler",0.81,-0.34,2.8,2.5,19.8709677419355,28.3182795698925,-12.61,2.35,-14.25,-4.48,752,392,883,763,-5.19,0,19.5,27.7,0.800000000000001,0.167110680552192,0.374386653581943,-0.207275973029751,FALSE,58.125,12.9376344086022,6.74408602150538,15.1913978494624,13.1268817204301,48,19.68,0.657400122388321,"Off_Ball_Big","On Ball","Roll + Cut Big Secondary Ball Handler","Off_Ball_Big On Ball",6.71,12.97,21.42,6.9,19.68,0,8.45,19.87,0,19.68,28.13,0.19,0.340955284552846,FALSE,FALSE,-8.80376702508961,-7.34341666666667,1.46035035842294,-9.53322708333333,-0.729460058243728,-7.40532708333333,1.39843994175627,-6.22763440860215,6.22591397849462,6.22860215053764,-6.22688172043011,"Off_Ball_Big On Ball"
"6","ATL",2019,"John Collins","Alex Len","Roll + Cut Big","Stretch Big",0.42,0.13,3.3,2.5,29.7041156840934,18.4560622914349,-12.75,-2.52,-5.38,0.23,405,1255,623,414,-4.62,0,27.9,18,2.1,0.165819414185427,0.180628272251309,-0.0148088580658817,FALSE,56.1875,7.20800889877642,22.3359288097887,11.0878754171301,7.36818687430478,48,18.3,0.3938802676927,"Off_Ball_Big","Off_Ball_Big","Roll + Cut Big Stretch Big","Off_Ball_Big Off_Ball_Big",6.69,22.85,11.61,6.85,18.3,11.24,0,18.46,0,29.54,18.3,0.16,0.365573770491803,FALSE,FALSE,-4.29472376714868,-3.4721875,0.822536267148684,-5.36258333333333,-1.06785956618465,-3.60120833333333,0.69351543381535,-0.518008898776418,0.514071190211347,0.522124582869855,-0.518186874304783,"Off_Ball_Big Off_Ball_Big"
"7","LAL",2017,"DAngelo Russell","Larry Nance Jr","Secondary Ball Handler","Roll + Cut Big",-0.18,0.28,2.6,2.5,29.3164556962025,22.7631103074141,-9.85,-6.44,4.54,-15.96,232,931,629,420,-23.91,0,25.1,19.3,3.6,0.096651926721415,0.212121212121212,-0.115469285399797,FALSE,46.0833333333333,5.03435804701627,20.2025316455696,13.6491862567812,9.11392405063291,48,18.68,0.269505248769608,"On Ball","Off_Ball_Big","Roll + Cut Big Secondary Ball Handler","Off_Ball_Big On Ball",0.51,24.73,18.17,4.59,18.68,6.56,0,22.76,0,25.24,18.68,4.08,0.0273019271948608,FALSE,FALSE,-5.48299276672694,-2.739125,2.74386776672694,-12.281125,-6.79813223327306,-2.97615,2.50684276672694,-4.52435804701627,4.52746835443038,4.52081374321881,-4.52392405063291,"Off_Ball_Big On Ball"
"8","DAL",2019,"Luka Doncic","Dwight Powell","Shot Creator","Stretch Big",1.63,1.79,6.1,4.5,32.0146386093321,20.9624885635865,-2.07,-3.36,3.94,-2.4,347,1500,745,687,-5.05,0,26.4,15.8,5.8,0.262267746545974,0.23431105047749,0.0279566960684845,FALSE,68.3125,5.07959743824337,21.9579139981702,10.9057639524245,10.0567246111619,48,15.99,0.317673385756308,"On Ball","Off_Ball_Big","Shot Creator Stretch Big","Off_Ball_Big On Ball",6.03,21.01,9.96,11.01,15.99,11.05,0,20.97,0,27.04,15.99,4.98,0.377110694183865,FALSE,TRUE,-1.36376639219274,-0.841083333333334,0.522683058859408,-2.51156875,-1.14780235780726,-0.8292875,0.534478892192741,0.950402561756634,-0.947913998170172,-0.945763952424519,0.95327538883806,"Off_Ball_Big On Ball"
"9","CHO",2020,"Devonte Graham","Cody Martin","Secondary Ball Handler","Movement Shooter",0.12,0.03,3.6,1.4,34.5436632333184,18.0349305866547,-16.05,-10.16,1.26,-3.37,304,1090,322,517,-10.52,0,29.2,12.9,5.9,0.191976427923844,0.268014515292898,-0.0760380873690538,FALSE,46.5208333333333,6.53470667263771,23.4303627407076,6.92163009404389,11.1133004926108,48,13.46,0.485490837491657,"On Ball","Off Ball","Movement Shooter Secondary Ball Handler","Off Ball On Ball",3.89,26.08,9.57,8.47,13.46,16.51,0,18.04,0,29.97,13.46,4.58,0.289004457652303,FALSE,FALSE,-7.74302283922974,-6.25627083333333,1.48675200589641,-9.2618625,-1.51883966077026,-6.31187916666667,1.43114367256307,-2.64470667263771,2.64963725929243,2.64836990595611,-2.64330049261084,"Off Ball On Ball"
"10","CHI",2018,"Justin Holiday","Bobby Portis","Movement Shooter","Stretch Big",0.49,0.07,4.2,2.6,30.5225933202358,21.7681728880157,-23.06,-8.35,-5.78,2.5,255,1414,857,528,-6.43,0,25.5,16.5,6,0.234127920698607,0.188638799571275,0.045489121127332,FALSE,63.625,4.00785854616896,22.2239685658153,13.4695481335953,8.29862475442043,48,17.48,0.22928252552454,"Off Ball","Off_Ball_Big","Movement Shooter Stretch Big","Off Ball Off_Ball_Big",5.63,20.6,11.85,9.92,17.48,8.75,0,21.77,0,26.23,17.48,4.29,0.3220823798627,FALSE,TRUE,-6.98122462344466,-6.1103125,0.870912123444662,-8.78596458333333,-1.80473995988867,-6.44437291666667,0.536851706777996,1.62214145383104,-1.62396856581532,-1.61954813359529,1.62137524557957,"Off Ball Off_Ball_Big"
