PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
LeBron James,2009-10,CLE,Shot Creator,"2,966",SF,25,8.84,7.31,1.52,20.7,7.2,5.89,1.31
James Harden,2018-19,HOU,Shot Creator,"2,867",PG,29,6.31,6.83,-0.52,15.8,6.41,7.04,-0.63
Stephen Curry,2015-16,GSW,Primary Ball Handler,"2,700",PG,27,6.77,6.75,0.03,16,6.99,7.06,-0.07
James Harden,2017-18,HOU,Shot Creator,"2,551",SG,28,6.32,6.6,-0.28,14.3,6.96,6.73,0.23
James Harden,2019-20,HOU,Shot Creator,"2,483",SG,30,6.98,6.53,0.46,14.6,5.87,6.22,-0.34
Kevin Durant,2013-14,OKC,Shot Creator,"3,122",SF,25,6.77,6.33,0.44,18.5,5.72,5.3,0.42
Stephen Curry,2016-17,GSW,Primary Ball Handler,"2,639",PG,28,6.68,6.27,0.42,15.3,5.04,5.06,-0.02
James Harden,2016-17,HOU,Shot Creator,"2,947",PG,27,5.48,6.2,-0.72,15,5.75,5.92,-0.16
Nikola Jokic,2020-21,DEN,Post Scorer,"2,488",C,25,6.83,6.19,0.64,14.3,5.87,5.24,0.64
LeBron James,2012-13,MIA,Shot Creator,"2,877",PF,28,7.4,6.18,1.22,18.1,6.5,5.58,0.92
Stephen Curry,2017-18,GSW,Primary Ball Handler,"1,631",PG,29,5.34,6.05,-0.71,8.2,4.67,5.55,-0.88
Chris Paul,2011-12,LAC,Shot Creator,"2,180",PG,26,5.95,6.04,-0.08,12,4.75,4.56,0.18
Stephen Curry,2020-21,GSW,Primary Ball Handler,"2,152",PG,32,5.29,5.93,-0.64,10.5,3.89,4.9,-1.01
Russell Westbrook,2014-15,OKC,Shot Creator,"2,302",PG,26,5.52,5.92,-0.39,12,4.39,4.61,-0.22
Russell Westbrook,2015-16,OKC,Shot Creator,"2,749",PG,27,6.42,5.89,0.53,15.7,5.53,5.15,0.38
Chris Paul,2012-13,LAC,Shot Creator,"2,335",PG,27,6.92,5.88,1.04,14.1,5.74,4.77,0.97
Damian Lillard,2019-20,POR,Shot Creator,"2,474",PG,29,4,5.87,-1.88,10.2,3.42,5.47,-2.06
Stephen Curry,2014-15,GSW,Primary Ball Handler,"2,613",PG,26,6.8,5.83,0.97,15.6,5.84,5.38,0.47
Dwyane Wade,2009-10,MIA,Shot Creator,"2,792",SG,28,6.36,5.76,0.6,15.8,4.54,3.83,0.7
James Harden,2014-15,HOU,Shot Creator,"2,981",SG,25,5.39,5.69,-0.29,15.3,4.85,4.45,0.41
Damian Lillard,2016-17,POR,Shot Creator,"2,693",PG,26,4.24,5.69,-1.45,11.7,2.62,4.06,-1.44
Nikola Jokic,2021-22,DEN,Post Scorer,"2,476",C,27,7.8,5.68,2.12,15.5,6.53,5.11,1.42
LeBron James,2013-14,MIA,Shot Creator,"2,902",PF,29,5.42,5.64,-0.23,14.9,4.79,4.87,-0.08
Russell Westbrook,2016-17,OKC,Shot Creator,"2,802",PG,28,5.79,5.63,0.16,14.8,5.5,5.4,0.1
LeBron James,2016-17,CLE,Shot Creator,"2,795",SF,32,5.78,5.56,0.22,14.7,4.44,4.44,0
Isaiah Thomas,2016-17,BOS,Primary Ball Handler,"2,569",PG,27,2.84,5.54,-2.7,8.8,3.55,5.33,-1.79
Luka Doncic,2019-20,DAL,Shot Creator,"2,047",PG,20,4.63,5.51,-0.88,9.2,5.33,5.73,-0.4
Damian Lillard,2020-21,POR,Shot Creator,"2,398",PG,30,3.73,5.39,-1.66,9.4,3.48,5.48,-2
LeBron James,2011-12,MIA,Shot Creator,"2,326",SF,27,6.28,5.37,0.91,13.3,5.63,4.34,1.3
LeBron James,2015-16,CLE,Shot Creator,"2,709",SF,31,6.83,5.3,1.54,16.1,4.87,4.25,0.62
James Harden,2013-14,HOU,Shot Creator,"2,777",SG,24,4.75,5.23,-0.48,13.1,3.61,4.03,-0.41
Kawhi Leonard,2019-20,LAC,Shot Creator,"1,848",SF,28,6.86,5.21,1.65,10.7,5.29,4.28,1.01
Chris Paul,2014-15,LAC,Shot Creator,"2,857",PG,29,5.76,5.19,0.57,15.3,5.18,4.84,0.35
Trae Young,2021-22,ATL,Shot Creator,"2,652",PG,23,2.93,5.15,-2.21,9.1,3.05,4.99,-1.94
Damian Lillard,2018-19,POR,Primary Ball Handler,"2,838",PG,28,4.83,5.14,-0.32,13.2,3.71,4.41,-0.7
LeBron James,2010-11,MIA,Shot Creator,"3,063",SF,26,6.26,5.03,1.23,17.2,5.51,4.36,1.15
Kevin Durant,2015-16,OKC,Shot Creator,"2,578",SF,27,5.07,5.01,0.06,12.7,5.23,4.82,0.41
Stephen Curry,2018-19,GSW,Primary Ball Handler,"2,331",PG,30,5.06,4.96,0.1,11.2,4.14,4.85,-0.72
Trae Young,2019-20,ATL,Primary Ball Handler,"2,120",PG,21,1.33,4.85,-3.52,5.1,1.16,3.85,-2.68
Kawhi Leonard,2016-17,SAS,Shot Creator,"2,474",SF,25,6.15,4.83,1.32,13.6,5.61,4.29,1.32
James Harden,2015-16,HOU,Shot Creator,"3,125",SG,26,4.36,4.8,-0.45,14,3.24,4.19,-0.95
Chris Paul,2015-16,LAC,Shot Creator,"2,420",PG,30,6,4.79,1.21,13.3,4.76,4.23,0.53
Giannis Antetokounmpo,2019-20,MIL,Shot Creator,"1,917",PF,25,9.03,4.78,4.25,13.3,7.84,5.02,2.82
Stephen Curry,2013-14,GSW,Shot Creator,"2,846",PG,25,5.47,4.78,0.68,14.7,3.95,3.74,0.22
James Harden,2011-12,OKC,Primary Ball Handler,"1,946",SG,22,3.21,4.77,-1.56,7.3,1.86,2.72,-0.86
Kevin Durant,2010-11,OKC,Secondary Ball Handler,"3,038",SF,22,4.23,4.74,-0.5,13.3,3.09,3.25,-0.16
Manu Ginobili,2011-12,SAS,Primary Ball Handler,792,SG,34,3.84,4.71,-0.87,3.3,2.31,2.65,-0.34
Chris Paul,2013-14,LAC,Shot Creator,"2,171",PG,28,6.61,4.68,1.93,12.7,5.29,4.44,0.85
Kevin Durant,2009-10,OKC,Secondary Ball Handler,"3,239",SF,21,5.63,4.68,0.95,16.9,3.68,3.19,0.5
Kevin Love,2013-14,MIN,Versatile Big,"2,797",PF,25,4.45,4.67,-0.22,12.6,4.44,4.33,0.11
Luka Doncic,2020-21,DAL,Shot Creator,"2,262",PG,21,3.97,4.67,-0.7,9.2,4.31,4.68,-0.37
Chris Paul,2016-17,LAC,Shot Creator,"1,921",PG,31,6.26,4.64,1.62,10.6,5.22,4.5,0.72
LeBron James,2017-18,CLE,Shot Creator,"3,026",PF,33,4.35,4.58,-0.23,13.3,4.48,4.8,-0.32
Kevin Durant,2012-13,OKC,Shot Creator,"3,119",SF,24,5.42,4.57,0.85,16.1,5.85,4.46,1.39
Damian Lillard,2017-18,POR,Shot Creator,"2,670",PG,27,4.47,4.57,-0.1,12,3.54,4.33,-0.79
Karl-Anthony Towns,2019-20,MIN,Versatile Big,"1,187",C,24,4.65,4.52,0.13,5.4,3.2,3.3,-0.1
Steve Nash,2009-10,PHO,Shot Creator,"2,660",PG,35,3.12,4.52,-1.4,9.7,2.31,3.8,-1.49
LeBron James,2019-20,LAL,Shot Creator,"2,316",PG,35,5.5,4.48,1.02,11.7,4.8,4.22,0.58
Kevin Durant,2016-17,GSW,Shot Creator,"2,070",PF,28,5.27,4.44,0.83,10.3,5.74,4.2,1.54
Kevin Durant,2018-19,GSW,Shot Creator,"2,702",SF,30,5.23,4.44,0.79,13.2,3.87,3.64,0.23
